"id","apelido","posicao_id"
"37958","Felipe","1"
"68873","Paulo Victor","1"
"78086","César","1"
"85798","João Paulo Kuspiosz","1"
"89258","Daniel","1"
"60795","Renan","1"
"38109","Jefferson","1"
"78604","Andrey","1"
"89492","Saulo","1"
"79973","Helton Leite","1"
"51413","Walter","1"
"42234","Cássio","1"
"69051","Danilo Fernandes","1"
"80286","Matheus Vidotto","1"
"38133","Julio Cesar","1"
"88867","Guido","1"
"73517","Douglas Pires","1"
"79265","Renan","1"
"71102","Omar","1"
"68872","Marcelo Lomba","1"
"68884","Klever","1"
"42330","Felipe Garcia","1"
"49673","Júlio César","1"
"85004","Marcos Felipe ","1"
"38431","Diego Cavalieri","1"
"62003","Bruno","1"
"72290","Jailson","1"
"68914","Deola","1"
"85083","Vinícius Silvestre","1"
"38140","Fernando Prass","1"
"70951","Fabio","1"
"68932","Renan Ribeiro","1"
"51175","Denis","1"
"38055","Rogério Ceni","1"
"69040","Vladimir","1"
"78839","Gabriel Gasparotto","1"
"85425","João Paulo","1"
"37984","Aranha","1"
"68979","Giovanni","1"
"52950","Victor","1"
"85418","Uilson","1"
"69183","Lee","1"
"89975","Rodolfo","1"
"37656","Fábio","1"
"68928","Rafael","1"
"79048","Elisson","1"
"82769","Alan","1"
"87611","Tiago","1"
"37770","Marcelo Grohe","1"
"72488","Follmann ","1"
"87008","Léo","1"
"69180","Busatto","1"
"82896","Alisson Becker","1"
"71724","Agenor","1"
"36443","Dida","1"
"69041","Muriel","1"
"85066","Guillermo ","1"
"71571","Fernando","1"
"50284","Wilson","1"
"74061","Roberto Fernández","1"
"70216","Gustavo","1"
"63034","Douglas","1"
"37767","Galatto","1"
"38038","Luiz","1"
"77556","Bruno","1"
"86928","David","1"
"86929","Ronaldo","1"
"82928","Edson","1"
"89897","Ronaldo","1"
"37899","Renan","1"
"50461","Edson","1"
"88147","Paulo Henrique","1"
"37749","Harlei","1"
"41218","Magrão","1"
"86517","Flavio","1"
"74096","Saulo","1"
"69012","Santos","1"
"71631","Weverton","1"
"63082","Rodolfo","1"
"62101","Renan Rocha","1"
"86760","Lucas Macanhan","1"
"80192","Hugo Gumiero","1"
"62121","Vanderlei","1"
"79535","Vaná","1"
"86449","Samuel","1"
"73336","Rafael Martins","1"
"82453","Tadeu","1"
"72603","William Menezes","1"
"82768","Danilo","1"
"40130","Silvio","1"
"87199","Gustavo ","1"
"52897","Nivaldo","1"
"37659","Lauro","1"
"88916","Luan Polli ","1"
"68805","Neneca","1"
"77912","Neto","1"
"88156","Jean","1"
"72018","Tiago Volpi","1"
"82419","Luan Sérgio","1"
"79066","Alex ","1"
"88848","Júnior Oliveira","1"
"71602","João Paulo","2"
"50453","Anderson Pico","2"
"88065","Jorge","2"
"69177","Léo","2"
"37701","Léo Moura","2"
"38184","André Santos","2"
"78647","Digão","2"
"86314","Alex Santos","2"
"86315","Anderson Santos","2"
"73869","Lennon","2"
"78436","Renan Lemos","2"
"68995","Régis Souza","2"
"71947","Guilherme","2"
"37621","Junior Cesar","2"
"50362","Lucas","2"
"38523","Edílson","2"
"37663","Julio Cesar","2"
"42500","Fagner","2"
"60852","Uendel","2"
"38229","Fábio Santos","2"
"63018","Guilherme Andrade","2"
"87228","Guilherme Arana","2"
"80163","Railan","2"
"69209","Diego Macedo","2"
"50346","Guilherme Santos","2"
"51781","Ávine","2"
"87213","Pará","2"
"73359","Roniery","2"
"68821","Rafael Galhardo","2"
"78077","Madson","2"
"84379","Raul","2"
"42499","Bruno","2"
"85424","Ailton","2"
"86444","Pablo Dyego","2"
"39572","Renato","2"
"38451","Carlinhos","2"
"89257","Breno","2"
"80667","Fernando","2"
"82641","Ronan","2"
"86410","Victor Luis","2"
"89273","João Pedro ","2"
"63119","Juninho","2"
"88874","Léo Cunha","2"
"38432","Wendel","2"
"72375","Weldinho","2"
"89157","Guilherme","2"
"89681","Mateus Muller","2"
"77827","Bruno Oliveira","2"
"62130","William Matheus","2"
"70133","Paulo Henrique","2"
"78850","Reinaldo","2"
"69308","Álvaro Pereira","2"
"37607","Michel Bastos","2"
"55348","Luis Ricardo","2"
"88540","Auro","2"
"69153","Clemente Rodríguez","2"
"68728","Douglas","2"
"80660","Lucas Farias","2"
"70046","Victor Ferraz","2"
"77967","Mena","2"
"89342","Caju","2"
"61106","Cicinho","2"
"88225","Daniel Guedes ","2"
"73617","Emerson","2"
"87192","Zeca","2"
"73962","Bruno Peres","2"
"84861","Alex Silva","2"
"79826","Douglas Santos","2"
"70317","Eron","2"
"77895","Emerson Conceição","2"
"51779","Pedro Botelho","2"
"63013","Marcos Rocha","2"
"80664","Michel","2"
"37790","Ceará","2"
"81150","Mayke","2"
"42145","Egídio","2"
"86411","Breno","2"
"73708","Samudio","2"
"69090","Matías Rodríguez","2"
"86748","Breno","2"
"62086","Pará","2"
"70010","Spessato","2"
"89343","Júnior","2"
"80570","Wendell","2"
"82628","Tinga","2"
"74074","Claudio Winck","2"
"85882","Diogo","2"
"80313","Gilberto ","2"
"71892","Wellington Silva","2"
"63110","Alan Ruschel","2"
"49674","Fabrício","2"
"37705","Juan","2"
"38069","Richarlyson","2"
"86860","Guilherme","2"
"79553","Mansur","2"
"77599","Romário","2"
"72334","Ayrton","2"
"84890","Euller ","2"
"68808","Nino Paraíba","2"
"71575","Danilo Tarracha","2"
"72079","Bruno Cortez","2"
"72097","Giovanni","2"
"50645","Eduardo","2"
"80431","Maicon Silva","2"
"70915","Luis Felipe","2"
"84545","Romulo","2"
"73879","Rogério","2"
"80318","Ezequiel","2"
"89896","Cleiton","2"
"63283","Esquerdinha","2"
"89606","Felipe Saturnino","2"
"72495","Moisés","2"
"73417","Lima","2"
"71146","Léo Veloso","2"
"73890","Mário Sérgio","2"
"71037","Clayton Sales","2"
"84382","Danilo","2"
"68904","Vítor","2"
"60969","Patric","2"
"82635","Igor","2"
"78445","Renê","2"
"62070","Marcelo Cordeiro","2"
"87399","Mário Sérgio","2"
"73527","Willian Rocha","2"
"72023","Sueliton","2"
"82457","Jean Felipe","2"
"86409","Lucas Olaza","2"
"86264","Natanael","2"
"86764","Sidcley","2"
"86763","Jonathan Fernando","2"
"61211","Carlos Cesar","2"
"69782","Dener Assunção","2"
"83258","Filipe Ramon","2"
"79401","Paulo Otávio","2"
"63194","Carlinhos","2"
"73644","Ivan","2"
"69155","Iberbia","2"
"86820","Reginaldo ","2"
"60858","Moacir","2"
"73857","Jackson","2"
"78423","Timbó","2"
"86969","Rhuan","2"
"70916","Diogo Goiano","2"
"84860","Abner","2"
"79594","Ednei","2"
"82525","Rodrigo Biro","2"
"79030","Fabinho Gaúcho","2"
"79887","Fabiano","2"
"80164","Jussandro","2"
"62976","Everton Silva","2"
"68702","Bruno Collaço","2"
"80553","Guilherme Lazaroni","2"
"83811","William Cordeiro","2"
"77529","Leandro Silva","2"
"69329","Cereceda","2"
"80552","Marquinhos Pedroso","2"
"37610","Ivan","2"
"72281","Artur","2"
"38026","Kleber","2"
"89977","Bruno Santos","2"
"84318","Samir ","3"
"78895","Marcelo","3"
"81223","Erazo","3"
"78646","Fernando Fernandes","3"
"37684","Chicão","3"
"68958","Wallace","3"
"74103","Frauches ","3"
"71122","Matheus","3"
"38370","André Bahia","3"
"79339","Dankler","3"
"89493","Igor Rabello","3"
"78946","Dória","3"
"87185","Mario Risso","3"
"37789","Bolívar","3"
"87225","Pedro Henrique","3"
"68923","Gil","3"
"73375","Felipe","3"
"52618","Anderson Martins","3"
"86143","Wanderson","3"
"72376","Cléber","3"
"68723","Demerson","3"
"80189","Lucas Fonseca","3"
"87230","Robson","3"
"50353","Titi","3"
"39137","Adaílton","3"
"82547","Sérgio Raphael","3"
"71618","Anderson Conceição","3"
"68887","Gum","3"
"68753","Fabrício ","3"
"70111","Guilherme Mattis","3"
"38365","Henrique","3"
"74059","Elivelton","3"
"79045","Wellington Carvalho","3"
"68888","Leandro Euzébio","3"
"69088","Victorino","3"
"73910","Tobio","3"
"89156","Nathan","3"
"88368","Gabriel Dias","3"
"83615","Thiago Martins","3"
"41519","Lúcio","3"
"68907","Wellington","3"
"51495","Tiago Alves","3"
"63008","Rafael Toloi","3"
"68817","Paulo Miranda","3"
"73800","Rodrigo Caio","3"
"38194","Antônio Carlos","3"
"84554","Lucão","3"
"71507","Edson Silva","3"
"69008","Neto","3"
"78248","Gustavo Henrique","3"
"73855","Jubal","3"
"37657","Edu Dracena","3"
"70045","Vinicius Simon","3"
"70221","Bruno Uvini","3"
"88132","Nailson","3"
"50317","David Braz","3"
"88224","Paulo Ricardo","3"
"84263","Jemerson","3"
"51299","Emerson","3"
"79042","Tiago ","3"
"87393","Gabriel","3"
"52253","Réver","3"
"68925","Leonardo Silva","3"
"38061","Edcarlos","3"
"69219","Otamendi","3"
"87229","Donato","3"
"51705","Bruno Rodrigo","3"
"50459","Léo","3"
"69014","Manoel","3"
"60819","Dedé","3"
"87400","Alex","3"
"50439","Vilson","3"
"84262","Wallace","3"
"72491","Bressan","3"
"68945","Saimon","3"
"71572","Gabriel","3"
"86744","Canavesio","3"
"62974","Werley","3"
"42501","Rhodolfo","3"
"80853","Pedro Geromel","3"
"83048","Rafael Thyere","3"
"36728","Índio","3"
"63172","Paulão","3"
"49651","Ernando","3"
"36540","Juan","3"
"82613","Alan","3"
"82626","Thales ","3"
"51415","Roger Carvalho","3"
"74014","Alemão","3"
"80573","Luiz Gustavo","3"
"50427","Kadu","3"
"69006","Dão","3"
"85067","Matheus Salustiano","3"
"72133","Ednei","3"
"81543","Josué","3"
"73423","Rodrigo Defendi","3"
"86861","Vinicius","3"
"86502","Jonathan Ferrari","3"
"38425","Fábio Ferreira","3"
"68950","Ronaldo Alves","3"
"51194","Rafael Pereira","3"
"78414","Rafael Donato","3"
"68738","Eli Sabiá","3"
"83108","Heitor","3"
"80779","Joílson","3"
"68908","Gualberto","3"
"89226","Iago","3"
"38990","Alcides","3"
"68746","Sergio Escudero","3"
"85399","Felipe Macedo","3"
"70934","Jackson","3"
"71038","Pedro Henrique","3"
"80036","Alex Alves","3"
"73760","Wallinson","3"
"63031","Valmir Lucas","3"
"38100","Durval","3"
"71593","Henrique Mattos","3"
"89494","Leandro Vicentin","3"
"72039","Ferron","3"
"78422","Oswaldo","3"
"88670","Hyago","3"
"80281","Cleberson","3"
"78990","Lucas Alves","3"
"37840","Gustavo","3"
"79334","Ricardo Silva","3"
"83528","Léo Pereira","3"
"78648","Dráusio","3"
"82459","Rafael Zuchi","3"
"82458","Erwin","3"
"68827","Renato Chaves","3"
"86761","Gerson","3"
"86762","Tárik","3"
"63005","Welinton","3"
"50446","Chico","3"
"80441","Bonfim ","3"
"50462","Leandro Almeida","3"
"86587","Igor Leandro","3"
"73465","Luccas Claro","3"
"50361","Rafael Lima","3"
"78407","Douglas Grolli","3"
