"id","nome","abreviacao","slug"
"262","Flamengo","FLA","flamengo"
"263","Botafogo","BOT","botafogo"
"264","Corinthians","COR","corinthians"
"265","Bahia","BAH","bahia"
"266","Fluminense","FLU","fluminense"
"275","Palmeiras","PAL","palmeiras"
"276","São Paulo","SAO","sao-paulo"
"277","Santos","SAN","santos"
"282","Atlético-MG","CAM","atletico-mg"
"283","Cruzeiro","CRU","cruzeiro"
"284","Grêmio","GRE","gremio"
"285","Internacional","INT","internacional"
"287","Vitória","VIT","vitoria"
"288","Criciúma","CRI","criciuma"
"290","Goiás","GOI","goias"
"292","Sport","SPO","sport"
"293","Atlético-PR","CAP","atletico-pr"
"294","Coritiba","CFC","coritiba"
"315","Chapecoense","CHA","chapecoense"
"316","Figueirense","FIG","figueirense"
"262","Flamengo","FLA","flamengo"
"264","Corinthians","COR","corinthians"
"266","Fluminense","FLU","fluminense"
"267","Vasco","VAS","vasco"
"275","Palmeiras","PAL","palmeiras"
"276","São Paulo","SAO","sao-paulo"
"277","Santos","SAN","santos"
"282","Atlético-MG","CAM","atletico-mg"
"283","Cruzeiro","CRU","cruzeiro"
"284","Grêmio","GRE","gremio"
"285","Internacional","INT","internacional"
"290","Goiás","GOI","goias"
"292","Sport","SPO","sport"
"293","Atlético-PR","CAP","atletico-pr"
"294","Coritiba","CFC","coritiba"
"303","Ponte Preta","PON","ponte-preta"
"314","Avaí","AVA","avai"
"315","Chapecoense","CHA","chapecoense"
"316","Figueirense","FIG","figueirense"
"317","Joinville","JEC","joinville"
"262","Flamengo","FLA","Flamengo"
"263","Botafogo","BOT","Botafogo"
"264","Corinthians","COR","Corinthians"
"266","Fluminense","FLU","Fluminense"
"275","Palmeiras","PAL","Palmeiras"
"276","São Paulo","SAO","Sao-Paulo"
"277","Santos","SAN","Santos"
"282","Atlético-MG","CAM","Atletico-MG"
"283","Cruzeiro","CRU","Cruzeiro"
"284","Grêmio","GRE","Gremio"
"285","Internacional","INT","Internacional"
"287","Vitória","VIT","Vitoria"
"292","Sport","SPO","Sport"
"293","Atlético-PR","CAP","Atletico-PR"
"294","Coritiba","CFC","Coritiba"
"303","Ponte Preta","PON","Ponte-Preta"
"315","Chapecoense","CHA","Chapecoense"
"316","Figueirense","FIG","Figueirense"
"327","América-MG","AME","America-MG"
"344","Santa Cruz","SCZ","Santa-Cruz"
"262","Flamengo","FLA","flamengo"
"263","Botafogo","BOT","botafogo"
"264","Corinthians","COR","corinthians"
"265","Bahia","BAH","bahia"
"266","Fluminense","FLU","fluminense"
"267","Vasco","VAS","vasco"
"275","Palmeiras","PAL","palmeiras"
"276","São Paulo","SAO","sao-paulo"
"277","Santos","SAN","santos"
"282","Atlético-MG","CAM","atletico-mg"
"283","Cruzeiro","CRU","cruzeiro"
"284","Grêmio","GRE","gremio"
"287","Vitória","VIT","vitoria"
"292","Sport","SPO","sport"
"293","Atlético-PR","CAP","atletico-pr"
"294","Coritiba","CFC","coritiba"
"303","Ponte Preta","PON","ponte-preta"
"314","Avaí","AVA","avai"
"315","Chapecoense","CHA","chapecoense"
"373","Atlético-GO","ATL","atletico-go"
